trial,timestep,scenario,power,stress,detection,is_attack,yaw_0,yaw_1,yaw_2
4,103,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,104,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,105,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,106,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,107,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,108,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,109,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,110,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,111,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,112,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,113,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,114,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,115,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,116,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,117,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,118,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,119,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,120,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,121,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,122,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,123,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,124,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,125,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,126,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,127,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,128,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,129,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,130,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,131,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,132,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,133,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,134,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,135,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,136,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,137,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,138,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,139,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,140,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,141,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,142,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,143,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,144,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,145,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,146,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,147,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,148,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,149,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,150,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,151,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,152,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,153,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,154,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,155,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,156,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,157,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,158,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,159,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,160,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,161,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,162,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,163,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,164,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
4,165,baseline,2801829.887712708,0.17569534383809898,False,False,-0.058565114612699656,-0.058565114612699656,0.058565114612699656
